Screaming Circuits SMD component position file.

Centroid Data for pc board: "CrawlerBoard_v0.6.brd" as of: 2/12/11 6:08 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Bottom,0.524,0.689,270
C2,Top,0.580,0.717,270
C3,Top,0.665,0.404,90
C4,Top,0.659,0.597,270
C5,Top,0.925,0.605,270
C6,Top,0.587,0.506,270
C7,Top,0.590,0.600,90
C9,Top,0.914,0.724,90
C10,Top,0.452,0.394,180
C11,Top,0.829,0.669,0
C12,Top,0.672,0.719,270
C13,Top,0.769,0.361,270
CONN1,Top,0.253,0.621,180
JP1,Bottom,0.233,0.785,180
JP2,Bottom,0.011,0.204,90
MOT1,Bottom,0.585,0.788,180
MOT2,Bottom,0.831,0.788,180
R1,Bottom,0.485,0.153,270
R2,Top,0.633,0.085,90
R3,Top,0.541,0.115,180
R4,Top,0.720,0.278,270
R5,Top,0.469,0.599,270
R6,Top,0.476,0.496,90
R7,Bottom,0.426,0.231,90
R8,Bottom,0.366,0.349,270
R9,Top,0.700,0.174,270
R10,Top,0.541,0.341,270
R11,Top,0.598,0.390,90
R12,Bottom,0.424,0.348,270
RECT1,Bottom,0.943,0.190,270
RECT2,Bottom,0.248,0.202,0
REG1,Bottom,0.445,0.738,0
RN1,Top,0.464,0.065,180
RN2,Top,0.231,0.419,180
RN3,Top,0.100,0.407,180
RN4,Top,0.313,0.238,90
RN5,Top,0.332,0.141,180
RN6,Bottom,0.331,0.051,180
U2,Bottom,0.624,0.513,90
U3,Bottom,0.246,0.535,270
U4,Bottom,0.558,0.266,180
U5,Bottom,0.973,0.574,270
U6,Top,0.185,0.054,270
U7,Top,0.212,0.200,270
U8,Top,0.193,0.311,270
